Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1uF,
"C2, C3, C4",0805,3,0.1uF,
C5,0805,1,10uF,
"C6, C7",0805,2,22pF,
"D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D201, D202, D203, D204, D205, D206, D207, D208, D209, D210, D211, D212, D213, D214, D301, D302, D303, D304, D305, D306, D307, D308, D309, D310, D311, D312, D313, D401, D402, D403, D404, D405, D406, D407, D408, D409, D410, D411, D412, D413, D501, D502, D503, D504, D505",D_SOD-123,60,D_small,
J1,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,1,Conn_01x04_Socket,
"R1, R4",0805,2,10k,
"R2, R3",0805,2,22,
SW1,SW_SPST_SKQG_WithoutStem,1,SW_Push,
"SW101, SW102, SW103, SW104, SW105, SW106, SW107, SW108, SW109, SW110, SW111, SW112, SW113, SW114-1, SW115, SW202, SW203, SW204, SW205, SW206, SW207, SW208, SW209, SW210, SW211, SW212, SW213, SW302, SW303, SW304, SW305, SW306, SW307, SW308, SW309, SW310, SW311, SW312, SW402, SW403, SW404, SW405, SW406, SW407, SW408, SW409, SW410, SW411, SW413, SW501-2, SW505-2",MX-Solderable-1U,51,SW_Push,
SW114-2,MX-Solderable-2U,1,SW_Push,
"SW201, SW214, SW501-1, SW502, SW504, SW505-1",MX-Solderable-1.5U,6,SW_Push,
SW301-1,MX-Solderable-1.25U,1,SW_Push,
"SW301-2, SW412",MX-Solderable-1.75U,2,SW_Push,
"SW313, SW401",MX-Solderable-2.25U,2,SW_Push,
SW503,MX-Solderable-7U-ReversedStabilizers,1,SW_Push,
U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,1,ATmega32U4-M,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
